q_bohr^-1 w_Ry eps g_Ry
2.456700753329515152e-01 -1.411910366128631411e+00 1.019042430352730122e+01 -1.385526572863030326e-01
2.486581174458780685e-01 -1.374680199374139322e+00 9.948480816966087659e+00 -1.381799115529043220e-01
2.516461595588045941e-01 -1.338772939813793084e+00 9.715120521848758628e+00 -1.378030192011481803e-01
2.546342016717311196e-01 -1.304126907945599045e+00 9.489943110711134722e+00 -1.374219942871579003e-01
2.576222437846576452e-01 -1.270683980209862174e+00 9.272571356040137047e+00 -1.370368510976344156e-01
2.606102858975841707e-01 -1.238389345775945394e+00 9.062649531708547812e+00 -1.366476041518595863e-01
2.635983280105106963e-01 -1.207191282517335429e+00 8.859841958950701368e+00 -1.362542682037080899e-01
2.665863701234372218e-01 -1.177040950464190106e+00 8.663831665775072466e+00 -1.358568582436661676e-01
2.695744122363638029e-01 -1.147892201192243666e+00 8.474319149811140761e+00 -1.354553895008575037e-01
2.725624543492903284e-01 -1.119701401758179227e+00 8.291021235569507652e+00 -1.350498774450753503e-01
2.755504964622168540e-01 -1.092427271926446730e+00 8.113670017969621284e+00 -1.346403377888194808e-01
2.785385385751433795e-01 -1.066030733553049226e+00 7.942011884771812191e+00 -1.342267864893377793e-01
2.815265806880699051e-01 -1.040474771099585638e+00 7.775806611249795885e+00 -1.338092397506721598e-01
2.845146228009964307e-01 -1.015724302347370100e+00 7.614826521066384579e+00 -1.333877140257067329e-01
2.875026649139229562e-01 -9.917460584680054536e-01 7.458855707876895558e+00 -1.329622260182183047e-01
2.904907070268494818e-01 -9.685084726844733760e-01 7.307689312688950167e+00 -1.325327926849286519e-01
2.934787491397760073e-01 -9.459815768266266467e-01 7.161132852460591280e+00 -1.320994312375567692e-01
2.964667912527025329e-01 -9.241369051477981156e-01 7.019001595826388495e+00 -1.316621591448710882e-01
2.994548333656291139e-01 -9.029474048258158136e-01 6.881119982208425689e+00 -1.312209941347402542e-01
3.024428754785556395e-01 -8.823873526227493658e-01 6.747321080900301915e+00 -1.307759541961817373e-01
3.054309175914821650e-01 -8.624322772237493773e-01 6.617446087011050082e+00 -1.303270575814075849e-01
3.084189597044086906e-01 -8.430588868169847094e-01 6.491343851426199407e+00 -1.298743228078663714e-01
3.114070018173352161e-01 -8.242450015142906983e-01 6.368870442187331449e+00 -1.294177686602792920e-01
3.143950439302617417e-01 -8.059694902462590793e-01 6.249888734912775412e+00 -1.289574141926715933e-01
3.173830860431882672e-01 -7.882122117963558106e-01 6.134268030082545842e+00 -1.284932787303963431e-01
3.203711281561147928e-01 -7.709539596666991068e-01 6.021883695192522978e+00 -1.280253818721504289e-01
3.233591702690413183e-01 -7.541764104935574364e-01 5.912616829947963559e+00 -1.275537434919818414e-01
3.263472123819678994e-01 -7.378620757537625030e-01 5.806353952816580843e+00 -1.270783837412867157e-01
