q_bohr^-1 w_Ry eps g_Ry
1.403314771729344379e+00 -9.636282055161108362e-01 1.506160245817705245e+00 -6.397912892681284491e-01
1.411278298876588844e+00 -9.532592949959945994e-01 1.497104490942151145e+00 -6.367353119060471522e-01
1.419241826023833308e+00 -9.430608870107443087e-01 1.488207077018477209e+00 -6.336892906732465303e-01
1.427205353171077773e+00 -9.330291733884520378e-01 1.479464528771531118e+00 -6.306532905950709145e-01
1.435168880318322238e+00 -9.231604514322451216e-01 1.470873467391397460e+00 -6.276273737328850189e-01
1.443132407465566702e+00 -9.134511204383928273e-01 1.462430607353674361e+00 -6.246115992411555018e-01
1.451095934612811167e+00 -9.038976783477923327e-01 1.454132753361687236e+00 -6.216060234240287086e-01
1.459059461760055632e+00 -8.944967185250281005e-01 1.445976797405326142e+00 -6.186106997913943806e-01
1.467022988907300096e+00 -8.852449266594791810e-01 1.437959715931465210e+00 -6.156256791144147922e-01
1.474986516054544561e+00 -8.761390777832170906e-01 1.430078567121158661e+00 -6.126510094805085460e-01
1.482950043201789025e+00 -8.671760334006897164e-01 1.422330488269043514e+00 -6.096867363477744828e-01
1.490913570349033490e+00 -8.583527387254283880e-01 1.414712693260597787e+00 -6.067329025988424940e-01
1.498877097496277955e+00 -8.496662200192405257e-01 1.407222470143110193e+00 -6.037895485941410234e-01
1.506840624643522419e+00 -8.411135820295660981e-01 1.399857178786412248e+00 -6.008567122245702663e-01
1.514804151790766884e+00 -8.326920055208812954e-01 1.392614248629616469e+00 -5.979344289635702969e-01
1.522767678938011349e+00 -8.243987448962228903e-01 1.385491176510270428e+00 -5.950227319185757979e-01
1.530731206085255813e+00 -8.162311259050960555e-01 1.378485524572516718e+00 -5.921216518818491759e-01
1.538694733232500278e+00 -8.081865434341939380e-01 1.371594918250997885e+00 -5.892312173806830700e-01
1.546658260379744743e+00 -8.002624593775298223e-01 1.364817044327397477e+00 -5.863514547269677024e-01
1.554621787526989207e+00 -7.924564005827341440e-01 1.358149649056658914e+00 -5.834823880661140771e-01
1.562585314674233672e+00 -7.847659568704206112e-01 1.351590536360050443e+00 -5.806240394253298076e-01
1.570548841821478137e+00 -7.771887791236640197e-01 1.345137566082378333e+00 -5.777764287612406902e-01
1.578512368968722601e+00 -7.697225774447660207e-01 1.338788652310769933e+00 -5.749395740068553584e-01
1.586475896115967066e+00 -7.623651193766174394e-01 1.332541761752571885e+00 -5.721134911178674676e-01
1.594439423263211530e+00 -7.551142281860778738e-01 1.326394912170008489e+00 -5.692981941182931882e-01
1.602402950410455995e+00 -7.479677812069164267e-01 1.320346170869355129e+00 -5.664936951454422331e-01
1.610366477557700460e+00 -7.409237082399630081e-01 1.314393653242490467e+00 -5.637000044942176435e-01
1.618330004704944924e+00 -7.339799900082207840e-01 1.308535521358768161e+00 -5.609171306607438900e-01
1.626293531852189389e+00 -7.271346566647954868e-01 1.302769982605252785e+00 -5.581450803853236220e-01
1.634257058999433854e+00 -7.203857863515863436e-01 1.297095288373451227e+00 -5.553838586947187350e-01
1.642220586146678318e+00 -7.137315038067747475e-01 1.291509732790740550e+00 -5.526334689437594205e-01
1.650184113293922783e+00 -7.071699790192291779e-01 1.286011651494785912e+00 -5.498939128562758683e-01
1.658147640441167248e+00 -7.006994259280319159e-01 1.280599420449305637e+00 -5.471651905653585057e-01
1.666111167588411712e+00 -6.943181011654043777e-01 1.275271454799617343e+00 -5.444473006529438885e-01
1.674074694735656177e+00 -6.880243028413824957e-01 1.270026207766462578e+00 -5.417402401887277952e-01
1.682038221882900642e+00 -6.818163693686672966e-01 1.264862169576675743e+00 -5.390440047684070812e-01
1.690001749030145106e+00 -6.756926783261386626e-01 1.259777866429320881e+00 -5.363585885512524021e-01
1.697965276177389571e+00 -6.696516453595837692e-01 1.254771859495976694e+00 -5.336839842970123593e-01
1.705928803324634035e+00 -6.636917231182564159e-01 1.249842743953916369e+00 -5.310201834021510692e-01
1.713892330471878500e+00 -6.578114002259375370e-01 1.244989148050963168e+00 -5.283671759354244823e-01
1.721855857619122965e+00 -6.520092002852211355e-01 1.240209732200875603e+00 -5.257249506727913468e-01
1.729819384766367429e+00 -6.462836809138101657e-01 1.235503188108145300e+00 -5.230934951316694725e-01
1.737782911913611894e+00 -6.406334328116459753e-01 1.230868237921148411e+00 -5.204727956045333004e-01
1.745746439060856359e+00 -6.350570788577524217e-01 1.226303633412633154e+00 -5.178628371918596596e-01
1.753709966208100823e+00 -6.295532732357169703e-01 1.221808155186563605e+00 -5.152636038344231562e-01
1.761673493355345288e+00 -6.241207005867749347e-01 1.217380611910389598e+00 -5.126750783449440796e-01
1.769637020502589753e+00 -6.187580751895072062e-01 1.213019839571838565e+00 -5.100972424390941562e-01
1.777600547649834217e+00 -6.134641401651963477e-01 1.208724700759376214e+00 -5.075300767658591505e-01
1.785564074797078682e+00 -6.082376667079330002e-01 1.204494083965505613e+00 -5.049735609372670853e-01
1.793527601944323147e+00 -6.030774533385913072e-01 1.200326902912117077e+00 -5.024276735574809694e-01
1.801491129091567611e+00 -5.979823251818321417e-01 1.196222095897128801e+00 -4.998923922512602536e-01
