q_bohr^-1 w_Ry eps g_Ry
4.142396901264421838e-01 -8.212302231861909330e-02 2.732996545570241409e+00 -3.004871061828732690e-02
4.166450154168040987e-01 -7.902264674417175394e-02 2.700892546923619797e+00 -2.925797504761172563e-02
4.190503407071660136e-01 -7.597989790374307106e-02 2.669362959299728999e+00 -2.846368180806530673e-02
4.214556659975279285e-01 -7.299348245671713475e-02 2.638394889375979879e+00 -2.766586713408211370e-02
4.238609912878898434e-01 -7.006214354851639237e-02 2.607975809802062894e+00 -2.686456802443803679e-02
4.262663165782517583e-01 -6.718465957845193293e-02 2.578093546864562491e+00 -2.605982225127589924e-02
4.286716418686137287e-01 -6.435984301583824729e-02 2.548736268635157565e+00 -2.525166836908661339e-02
4.310769671589756435e-01 -6.158653926222304453e-02 2.519892473580894077e+00 -2.444014572364092489e-02
4.334822924493375584e-01 -5.886362555769017457e-02 2.491550979616103945e+00 -2.362529446086623214e-02
4.358876177396994733e-01 -5.619000992929720772e-02 2.463700913576527540e+00 -2.280715553566393938e-02
4.382929430300613882e-01 -5.356463017980089836e-02 2.436331701097174118e+00 -2.198577072066118174e-02
4.406982683204233031e-01 -5.098645291491790688e-02 2.409433056876364887e+00 -2.116118261489187066e-02
4.431035936107852180e-01 -4.845447260745078255e-02 2.382994975309228991e+00 -2.033343465240126935e-02
4.455089189011471329e-01 -4.596771069669211562e-02 2.357007721474779771e+00 -1.950257111076841160e-02
4.479142441915090478e-01 -4.352521472159412430e-02 2.331461822461416311e+00 -1.866863711954023716e-02
4.503195694818710182e-01 -4.112605748626632640e-02 2.306348059016459118e+00 -1.783167866857204159e-02
4.527248947722329331e-01 -3.876933625643011472e-02 2.281657457506006459e+00 -1.699174261626782909e-02
4.551302200625948480e-01 -3.645417198552353133e-02 2.257381282172023163e+00 -1.614887669771399720e-02
4.575355453529567629e-01 -3.417970856921609402e-02 2.233511027674240257e+00 -1.530312953270147706e-02
4.599408706433186778e-01 -3.194511212714420956e-02 2.210038411904982514e+00 -1.445455063362837377e-02
4.623461959336805926e-01 -2.974957031073946490e-02 2.186955369065626265e+00 -1.360319041327758341e-02
4.647515212240425075e-01 -2.759229163607229696e-02 2.164254042993897009e+00 -1.274910019246298931e-02
4.671568465144044224e-01 -2.547250484068239174e-02 2.141926780731730595e+00 -1.189233220753718213e-02
4.695621718047663373e-01 -2.338945826341615186e-02 2.119966126323882705e+00 -1.103293961775442776e-02
4.719674970951283077e-01 -2.134241924633450971e-02 2.098364814837929249e+00 -1.017097651248166125e-02
4.743728223854902226e-01 -1.933067355780013208e-02 2.077115766596732360e+00 -9.306497918251631363e-03
4.767781476758521375e-01 -1.735352483588878392e-02 2.056212081614827270e+00 -8.439559805650179505e-03
